playlist_name,artist_name,album_name,track_name,track_uri,first_played,last_played,plays,hours
year_2023,AC/DC,Live (Collector's Edition),Jailbreak - Live - 1991,spotify:track:6OvZ0eYTiRbvE4yflbKlnt,2023-03-10,2023-12-31,14,3.4
year_2023,Joachim Witt,Silberblick,Sonne hat sie gesagt,spotify:track:1AKqmsr6igjMg6FUfaro5E,2023-01-02,2023-12-31,19,2.7
year_2023,Aerosmith,1971: The Road Starts Hear,Movin' Out,spotify:track:1GgfTOi1yAfJVm4WFT8BPI,2023-01-06,2023-12-25,25,2.5
year_2023,Rory Gallagher,Blueprint,Daughter Of The Everglades,spotify:track:3jjIBzbGC7qdOa4VlFXOTj,2023-03-10,2023-09-23,23,2.3
year_2023,John Lee Hooker,The Best Hooker 'N' Heat,The World Today,spotify:track:3GYQZ8uMgkVonvQ2zjLCV7,2023-04-10,2023-11-29,20,2.3
year_2023,Thorbjørn Risager & The Black Tornado,Come on In,Come on In,spotify:track:3JFr2IWH2PeuhGTgfwVSEf,2023-04-24,2023-12-22,31,2.1
year_2023,The Rolling Stones,Hackney Diamonds,Mess It Up,spotify:track:6fVCPBFgs69jSSM114rGmy,2023-10-20,2023-12-31,30,2.0
year_2023,Samantha Fish,Kill Or Be Kind,Bulletproof - Tangle Eye Mix,spotify:track:6iy2u83vc4L95HS3JYxSQs,2023-03-11,2023-12-25,24,2.0
year_2023,Westernhagen,Live,Nimm mich mit (Live) - 2000 Remaster,spotify:track:66OXARu4wSBf3rc3MBFlyG,2023-03-29,2023-12-31,16,2.0
year_2023,John Lee Hooker,The Best Hooker 'N' Heat,Burning Hell,spotify:track:0oMpSpb3GbmRDF9SbWoUvW,2023-02-01,2023-12-31,24,1.7
year_2023,Aerosmith,1971: The Road Starts Hear,Reefer Head Woman,spotify:track:58wkIWSCm3QXa5xlND4gl9,2023-03-22,2023-12-01,19,1.7
year_2023,NEU!,NEU!,Hallogallo,spotify:track:6eUnY12Nd9TVWlbBnFQRCw,2023-04-11,2023-12-04,10,1.6
year_2023,Aerosmith,1971: The Road Starts Hear,Somebody,spotify:track:5fcoCOuTYvAm1ap7d1zfB1,2023-03-22,2023-12-31,21,1.5
year_2023,Sinéad O'Connor,Lion and the Cobra,Drink Before the War,spotify:track:5Bmc87iF3wRWGyDbzcMrG3,2023-05-26,2023-12-29,19,1.5
year_2023,Aerosmith,1971: The Road Starts Hear,Walkin’ The Dog,spotify:track:2hY2EFTgCvLw46WBvoU7OS,2023-02-20,2023-12-01,19,1.5
year_2023,Sham 69,Information Libre,Feel It,spotify:track:5E8MkchilFKrEjlgwTCRx6,2023-06-09,2023-12-31,27,1.4
year_2023,R.L. Burnside,Come on In,It's Bad You Know,spotify:track:1AcvqJhm4CXOFJ7INbR5rR,2023-01-02,2023-12-31,18,1.4
year_2023,Robin Trower,Bridge Of Sighs,Too Rolling Stoned - 2007 Remaster,spotify:track:0aveCMNj686kG1oX4n80P6,2023-04-01,2023-12-04,12,1.4
year_2023,Joachim Witt,Silberblick,Goldener Reiter,spotify:track:7sgbBeINoJ4TDUDIloK9li,2023-01-14,2023-12-25,19,1.2
year_2023,Joachim Witt,Rübezahls Rückkehr,Schmerzende Welt,spotify:track:1W69vqwwiAm3d1cnZCrYzw,2023-01-02,2023-12-21,19,1.2
year_2023,Sham 69,Information Libre,Planet Trash,spotify:track:6VoVtwiLJeSZmpkToxELiy,2023-06-09,2023-12-31,17,1.2
year_2023,ZZ Top,Eliminator,Sharp Dressed Man - 2008 Remaster,spotify:track:1UBQ5GK8JaQjm5VbkBZY66,2023-01-08,2023-12-12,17,1.2
year_2023,ZZ Top,Eliminator,Gimme All Your Lovin',spotify:track:0OBwxFLu6Yj61s2OagYbgY,2023-01-06,2023-12-01,18,1.1
year_2023,Aerosmith,1971: The Road Starts Hear,Dream On,spotify:track:392AHFoWVZUxhH8lrd3Izh,2023-03-22,2023-12-01,14,1.1
year_2023,Aerosmith,1971: The Road Starts Hear,Mama Kin,spotify:track:0EweTP2hYmXQ8JJES651Nm,2023-03-22,2023-12-01,14,1.1
year_2023,Ozzy Osbourne,Patient Number 9,Patient Number 9 (feat. Jeff Beck),spotify:track:3YYnFEXCLNbaWuC0hIEnIS,2023-01-06,2023-12-31,12,1.1
year_2023,Creedence Clearwater Revival,Cosmo's Factory,Up Around The Bend,spotify:track:56dtB7EzO7EneUgYwX8krC,2023-01-18,2023-12-31,24,1.0
year_2023,Motörhead,1916,1916,spotify:track:5gp9UXTiUKw0EbKdmdln9O,2023-01-02,2023-12-31,17,1.0
year_2023,Tom Petty,Full Moon Fever,A Face In The Crowd,spotify:track:4tSZr210OTY6upjNYfEYUI,2023-04-11,2023-12-31,16,1.0
year_2023,Joachim Witt,60 Hits - 60 Jahre Deutschland,Die Flut - Radio Edit,spotify:track:6KLAZ4GwrBw1m5bksp46zt,2023-06-14,2023-12-31,16,1.0
