playlist_name,artist_name,album_name,track_name,track_uri,first_played,last_played,plays,hours
year_2024,Aerosmith,1971: The Road Starts Hear,Movin' Out,spotify:track:1GgfTOi1yAfJVm4WFT8BPI,2024-01-16,2024-11-26,22,2.1
year_2024,Aerosmith,1971: The Road Starts Hear,Reefer Head Woman,spotify:track:58wkIWSCm3QXa5xlND4gl9,2024-01-16,2024-08-30,18,1.6
year_2024,Aerosmith,1971: The Road Starts Hear,Somebody,spotify:track:5fcoCOuTYvAm1ap7d1zfB1,2024-01-16,2024-08-30,21,1.5
year_2024,Aerosmith,1971: The Road Starts Hear,Mama Kin,spotify:track:0EweTP2hYmXQ8JJES651Nm,2024-01-16,2024-08-30,19,1.5
year_2024,Aerosmith,1971: The Road Starts Hear,Walkin’ The Dog,spotify:track:2hY2EFTgCvLw46WBvoU7OS,2024-01-16,2024-08-30,19,1.5
year_2024,Aerosmith,1971: The Road Starts Hear,Major Barbara,spotify:track:4lGFQifIRzLqkTcQUrqKaT,2024-01-16,2024-08-30,18,1.5
year_2024,Aerosmith,1971: The Road Starts Hear,Dream On,spotify:track:392AHFoWVZUxhH8lrd3Izh,2024-01-16,2024-08-30,19,1.4
year_2024,Dire Straits,Brothers In Arms - 20th Anniversary Edition,Brothers In Arms,spotify:track:60bF2b61f7Q5Bt82QCBwvc,2024-01-04,2024-11-02,11,1.3
year_2024,Fleetwood Mac,Rumours,Rhiannon - Live 1977,spotify:track:1nWyUagJmVzvBGTMDeY73L,2024-08-29,2024-12-30,9,1.1
year_2024,AC/DC,Live (Collector's Edition),Jailbreak - Live - 1991,spotify:track:6OvZ0eYTiRbvE4yflbKlnt,2024-03-17,2024-12-06,4,1.0
year_2024,Pink Floyd,The Dark Side Of The Moon,Time - 2011 Remastered Version,spotify:track:4xHWH1jwV5j4mBYRhxPbwZ,2024-02-22,2024-07-25,8,0.9
year_2024,Buffalo,Volcanic Rock,Freedom,spotify:track:2e2tCYGZAxae37H91Jh59f,2024-01-04,2024-11-02,6,0.9
year_2024,Sham 69,Information Libre,Information Libertaire,spotify:track:51JIEgX1u7uj1SAaOXnu8a,2024-01-26,2024-12-30,15,0.8
year_2024,Strassenjungs,Das Beste,Dauerlutscher,spotify:track:3w2Ag2qJIZI8kEsgOk7WeX,2024-01-26,2024-04-07,13,0.8
year_2024,Sham 69,Information Libre,Wild and Wonderful,spotify:track:1W8g5GVuHb0fn5L9Ti1Uyt,2024-01-26,2024-05-08,13,0.8
year_2024,David Bowie,The Next Day,Where Are We Now?,spotify:track:47IRJtymREDMhW3fn2Hj0T,2024-01-19,2024-12-06,12,0.8
year_2024,Sham 69,Information Libre,Planet Trash,spotify:track:6VoVtwiLJeSZmpkToxELiy,2024-01-26,2024-12-30,11,0.8
year_2024,Billy Idol,Cyberpunk,Wasteland,spotify:track:4M4JE1MRvgWegQMripvvwv,2024-01-04,2024-09-17,11,0.8
year_2024,R.L. Burnside,Come on In,It's Bad You Know,spotify:track:1AcvqJhm4CXOFJ7INbR5rR,2024-01-29,2024-12-30,10,0.8
year_2024,Pete Townshend,White City: A Novel,Give Blood,spotify:track:6iwWFPOSfhH6kArlU52fp0,2024-01-28,2024-10-30,9,0.8
year_2024,Rory Gallagher,Blueprint,Daughter Of The Everglades,spotify:track:3jjIBzbGC7qdOa4VlFXOTj,2024-03-24,2024-12-30,8,0.8
year_2024,Dire Straits,Brothers In Arms - 20th Anniversary Edition,Money For Nothing,spotify:track:4bO6DljpuAeQh6HS20i0I5,2024-01-04,2024-11-02,8,0.8
year_2024,Sham 69,Information Libre,Feel It,spotify:track:5E8MkchilFKrEjlgwTCRx6,2024-01-26,2024-12-30,13,0.7
year_2024,John Lee Hooker,Hooker 'N Heat,Messin' With The Hook,spotify:track:1R1NIZpyN47AJa3to8vu0x,2024-01-19,2024-10-19,12,0.7
year_2024,Pink Floyd,The Wall (Remastered),"Another Brick In The Wall, Pt. 2 - 2011 Remastered Version",spotify:track:7rPzEczIS574IgPaiPieS3,2024-02-15,2024-12-25,11,0.7
year_2024,Tom Petty and the Heartbreakers,Hypnotic Eye,Fault Lines,spotify:track:6EbwtNHHupaiR2tCTNwDFz,2024-02-22,2024-12-28,10,0.7
year_2024,Sass Jordan,Racine,Make You a Believer,spotify:track:3x2TPDl0jQthHTKTgWxz21,2024-07-15,2024-09-06,10,0.7
year_2024,Ozzy Osbourne,Patient Number 9,Patient Number 9 (feat. Jeff Beck),spotify:track:3YYnFEXCLNbaWuC0hIEnIS,2024-02-04,2024-07-21,10,0.7
year_2024,Pink Floyd,The Dark Side Of The Moon,Money - 2011 Remastered Version,spotify:track:7Gx2q0ueNwvDp2BOZYGCMO,2024-01-26,2024-11-26,8,0.7
year_2024,Pete Townshend,White City: A Novel,Face The Face,spotify:track:2PFOLIT19EDg8J5GSVeVjT,2024-01-19,2024-10-30,7,0.7
