playlist_name,artist_name,album_name,track_name,track_uri,first_played,last_played,plays,hours
year_2016,Tom Petty and the Heartbreakers,Hypnotic Eye,American Dream Plan B,spotify:track:5TCq5VBFgZx6Pg3qeGqUE4,2016-01-15,2016-05-23,8,0.4
year_2016,Tom Petty and the Heartbreakers,Hypnotic Eye,Fault Lines,spotify:track:6EbwtNHHupaiR2tCTNwDFz,2016-01-15,2016-05-23,6,0.4
year_2016,Tom Petty and the Heartbreakers,Hypnotic Eye,Red River,spotify:track:2JnQvMvZyV8c2fiLMKHZ80,2016-01-15,2016-05-23,6,0.4
year_2016,Tom Petty and the Heartbreakers,Hypnotic Eye,Sins of My Youth,spotify:track:303LVb822iYKBiPdEGawa9,2016-01-15,2016-05-23,6,0.4
year_2016,Tom Petty and the Heartbreakers,Hypnotic Eye,U Get Me High,spotify:track:2rlhuKi3o7oySloqWw5TUa,2016-01-15,2016-05-23,6,0.4
year_2016,Tom Petty and the Heartbreakers,Hypnotic Eye,All You Can Carry,spotify:track:757plEIHl29OU5hOMRvJnH,2016-01-15,2016-05-23,5,0.4
year_2016,Tom Petty and the Heartbreakers,Hypnotic Eye,Power Drunk,spotify:track:4qpNYHLKY8VWK3jU9dtext,2016-01-15,2016-05-23,5,0.4
year_2016,Tom Petty and the Heartbreakers,Hypnotic Eye,Shadow People,spotify:track:61yxDjvjwWEcZ47o9DJckg,2016-01-15,2016-05-23,4,0.4
year_2016,Tom Petty and the Heartbreakers,Hypnotic Eye,Burnt Out Town,spotify:track:2hlCLts7h7aHlyuWibLayL,2016-01-15,2016-05-23,6,0.3
year_2016,Tom Petty and the Heartbreakers,Hypnotic Eye,Forgotten Man,spotify:track:2LpjANuqrysVLtWHqgtuwG,2016-01-15,2016-05-23,6,0.3
year_2016,Midnight Oil,Earth And Sun And Moon,Feeding Frenzy,spotify:track:5gZ8mRWKCtnlpJJAha2Iq0,2016-02-02,2016-02-03,3,0.3
year_2016,AC/DC,Back In Black,Shoot to Thrill,spotify:track:0C80GCp0mMuBzLf3EAXqxv,2016-01-29,2016-01-30,3,0.3
year_2016,Tom Petty and the Heartbreakers,Hypnotic Eye,Full Grown Boy,spotify:track:1u4HpdpAG9W8HGXAlEqAhb,2016-01-15,2016-05-23,5,0.2
year_2016,Midnight Oil,20000 Watt RSL - The Midnight Oil Collection,Beds Are Burning - Remastered,spotify:track:6Nabz5Gsy80XL0MJoOmgF8,2016-02-02,2016-02-03,3,0.2
year_2016,David Bowie,Blackstar,Dollar Days,spotify:track:2AD2Xa5MkgF0xJBE1cFZwe,2016-01-29,2016-01-29,3,0.2
year_2016,Midnight Oil,Diesel And Dust,Whoah - 2007 Remastered,spotify:track:4XS9OIH9Dq8mX7SwKUoFAL,2016-02-02,2016-02-04,3,0.2
year_2016,AC/DC,Who Made Who,You Shook Me All Night Long,spotify:track:6yl8Es1tCYD9WdSkeVLFw4,2016-01-30,2016-01-30,3,0.2
year_2016,Midnight Oil,Earth And Sun And Moon,Bushfire,spotify:track:3VFTb1yh4DnF0rlrrGGua4,2016-02-02,2016-02-03,2,0.2
year_2016,Midnight Oil,Earth And Sun And Moon,Drums Of Heaven,spotify:track:0U9WUe53kXyIitwUWNcgKe,2016-02-02,2016-02-03,2,0.2
year_2016,David Bowie,Blackstar,Girl Loves Me,spotify:track:6N9PAf91qP6aJIzT8bVoof,2016-01-29,2016-01-29,2,0.2
year_2016,AC/DC,Back In Black,Hells Bells,spotify:track:69QHm3pustz01CJRwdo20z,2016-01-30,2016-01-30,2,0.2
year_2016,Schnipo Schranke,Satt,Herzinfarkt,spotify:track:6tjCWngGFXoDrT4C4QCB1q,2016-01-21,2016-01-26,2,0.2
year_2016,Die Sterne,Flucht in die Flucht,Hirnf***,spotify:track:7bvsjF1DOr9RsHCoXAEBin,2016-01-26,2016-03-26,2,0.2
year_2016,David Bowie,Blackstar,I Can't Give Everything Away,spotify:track:42bQZnfDGmejgB5elWY3QA,2016-01-29,2016-01-29,2,0.2
year_2016,Midnight Oil,Essential Oils,In The Valley,spotify:track:0Pmyr8FI1c0h0dzKMBNuxi,2016-02-03,2016-02-03,2,0.2
year_2016,Die Sterne,Flucht in die Flucht,Innenstadt Illusionen,spotify:track:5MZUUeOKr8Lm7FRMgjCU6V,2016-01-26,2016-03-26,2,0.2
year_2016,Arcade Fire,Funeral,Neighborhood #3 (Power Out),spotify:track:7ejcNW7uMlDqgEHspqcOcs,2016-01-25,2016-01-25,2,0.2
year_2016,Arcade Fire,Funeral,Neighborhood #4 (7 Kettles),spotify:track:1IW90HDZZg8HtmngnhmVYU,2016-01-25,2016-01-25,2,0.2
year_2016,Midnight Oil,Earth And Sun And Moon,Now Or Neverland,spotify:track:3SPNp1tg6Z1YPADtWxn9zt,2016-02-02,2016-02-03,2,0.2
year_2016,David Bowie,Hunky Dory,Quicksand - 1999 Remastered Version,spotify:track:1JBg3MrS3FfK32kVyGZbAz,2016-01-29,2016-01-29,2,0.2
