playlist_name,artist_name,album_name,track_name,track_uri,first_played,last_played,plays,hours
year_2017,AC/DC,Back In Black,Back In Black,spotify:track:08mG3Y1vljYA6bvDt4Wqkj,2017-02-20,2017-12-12,16,1.0
year_2017,Dritte Wahl,Gib Acht!,Fliegen,spotify:track:3bSyHjYjrzPMZA4WYtOKvg,2017-01-30,2017-12-19,15,1.0
year_2017,AC/DC,High Voltage,T.N.T.,spotify:track:7LRMbd3LEoV5wZJvXT1Lwb,2017-04-29,2017-12-13,15,0.9
year_2017,AC/DC,High Voltage,It's a Long Way to the Top (If You Wanna Rock 'N' Roll),spotify:track:7nemcVsXVFZF01iqpIIo2Y,2017-04-28,2017-12-09,13,0.9
year_2017,AC/DC,Let There Be Rock,Let There Be Rock,spotify:track:753KutoAy00apPsplMRetG,2017-05-01,2017-12-13,9,0.9
year_2017,Dritte Wahl,Geblitzdingst,Der Spiegel,spotify:track:3WCWyJB8bmYkvU8u5S5cOG,2017-01-30,2017-12-09,13,0.8
year_2017,AC/DC,Black Ice,Rock N Roll Train,spotify:track:4feXJ5IC3avXsVW9WNFSag,2017-04-29,2017-12-08,11,0.8
year_2017,Dritte Wahl,Geblitzdingst,Stillstehn,spotify:track:1htrwpW9hltUzor2mpTsID,2017-04-12,2017-12-08,10,0.8
year_2017,AC/DC,Who Made Who,For Those About to Rock (We Salute You),spotify:track:1Qf7H7d1TNP8VfPVDRLY0D,2017-05-01,2017-11-28,8,0.8
year_2017,AC/DC,Fly On the Wall,First Blood,spotify:track:3u73GFE4Vr2Agnf6afmW0V,2017-04-28,2017-12-11,12,0.7
year_2017,AC/DC,Ballbreaker,Hard as a Rock,spotify:track:1gij27s31tFKcTHa8f1u4g,2017-05-01,2017-12-12,9,0.7
year_2017,AC/DC,Who Made Who,Hells Bells,spotify:track:2P884dqfjksDMSzUZksfrS,2017-04-28,2017-12-09,9,0.7
year_2017,Motörhead,Motorhead,Iron Horse/Born To Lose,spotify:track:5bL6R9SvjJrkB1uMC5xa7z,2017-05-05,2017-12-14,8,0.7
year_2017,Midnight Oil,Lasseter's Gold (Unreleased Demos),Red Indian,spotify:track:2Rdl8w9OmnqGweM3NKErKn,2017-09-06,2017-12-09,5,0.7
year_2017,AC/DC,Highway to Hell,Girls Got Rhythm,spotify:track:6Wn3pdFtAcnYJyJVITwt7N,2017-04-29,2017-12-12,13,0.6
year_2017,AC/DC,Let There Be Rock,Dog Eat Dog,spotify:track:0L0x35hQnmCLtHeSGQlEZj,2017-04-28,2017-12-14,11,0.6
year_2017,Slime,Sie wollen wieder schießen (dürfen),Sie wollen wieder schießen (dürfen),spotify:track:5iFtAk0eRiOo1ZNf4xDcup,2017-01-30,2017-12-09,10,0.6
year_2017,AC/DC,Fly On the Wall,Back in Business,spotify:track:6FCp2G9cQKTBl2nd34vciA,2017-04-29,2017-12-11,9,0.6
year_2017,AC/DC,Backtracks,Big Gun,spotify:track:7zjzu90Q4mtNNaE9Ol9Zbv,2017-05-01,2017-11-21,9,0.6
year_2017,AC/DC,Iron Man 2,Have a Drink on Me,spotify:track:3mCfSExH1q3d2lLnddgiWV,2017-05-01,2017-12-14,9,0.6
year_2017,AC/DC,Blow Up Your Video,Heatseeker,spotify:track:0h3A3hdDq762DzIOKUoF21,2017-04-28,2017-12-11,9,0.6
year_2017,AC/DC,If You Want Blood You've Got It (Live),"Hell Ain't a Bad Place to Be - Live at the Apollo Theatre, Glasgow, Scotland - April 1978",spotify:track:3K8xCiaZKUhHHbO9QDpYjz,2017-05-01,2017-12-09,9,0.6
year_2017,AC/DC,High Voltage,High Voltage,spotify:track:5pLgH1bCkBV3bbmvm0qvom,2017-04-28,2017-12-13,9,0.6
year_2017,AC/DC,The Razors Edge,Moneytalks,spotify:track:5u5F7qLDvZjBSktaDp4HxB,2017-04-28,2017-12-07,9,0.6
year_2017,AC/DC,If You Want Blood You've Got It (Live),"Problem Child - Live at the Apollo Theatre, Glasgow, Scotland - April 1978",spotify:track:0fUyiY8d2SxITRs5cJWR4X,2017-05-01,2017-11-28,9,0.6
year_2017,Feine Sahne Fischfilet,Scheitern und Verstehen,Komplett im Arsch,spotify:track:5uSKP5cqw0C2jfykeRti9y,2017-05-09,2017-08-29,8,0.6
year_2017,AC/DC,Iron Man 2,Shoot to Thrill,spotify:track:6GzCkTddOn1vSln1gbSr8y,2017-04-29,2017-11-22,7,0.6
year_2017,AC/DC,Powerage,Sin City,spotify:track:3UQQ7g6J8fiMB7oldQzBoq,2017-04-28,2017-11-21,7,0.6
year_2017,Steppenwolf,Steppenwolf,The Pusher,spotify:track:29HbMTL672MugzhklYvStz,2017-06-13,2017-11-29,7,0.6
year_2017,AC/DC,Let There Be Rock,Whole Lotta Rosie,spotify:track:4wYq5wugZDzQiMZQYG4wVB,2017-04-29,2017-11-21,7,0.6
