playlist_name,artist_name,album_name,track_name,track_uri,first_played,last_played,plays,hours
year_2022,Rory Gallagher,Tattoo,A Million Miles Away,spotify:track:30CnvMgamyV8oWQEwyCqsq,2022-01-04,2022-12-28,32,3.3
year_2022,Dire Straits,Brothers In Arms - 20th Anniversary Edition,Brothers In Arms,spotify:track:60bF2b61f7Q5Bt82QCBwvc,2022-01-09,2022-12-11,29,3.2
year_2022,NEU!,NEU!,Hallogallo,spotify:track:0K8iBT3F5XSfptlP5sLsWg,2022-01-14,2022-10-25,14,2.1
year_2022,Status Quo,On The Level,Down Down,spotify:track:5vVZaiK2mIL9WE1GWikOE6,2022-01-01,2022-12-10,20,1.7
year_2022,BAP,Für Usszeschnigge,Verdamp lang her,spotify:track:12Gf7Ffl7pxj7mQF1ehRBy,2022-01-28,2022-12-23,18,1.7
year_2022,Westernhagen,Live,Nimm mich mit (Live) - 2000 Remaster,spotify:track:66OXARu4wSBf3rc3MBFlyG,2022-05-26,2022-11-30,13,1.7
year_2022,Black Sabbath,Paranoid,War Pigs,spotify:track:0W35nxtHtFlseSojmygEsf,2022-01-04,2022-12-31,13,1.7
year_2022,Status Quo,Just Supposin',What You're Proposing,spotify:track:4VByVyWcvq1163fes1cfFQ,2022-01-01,2022-12-15,22,1.6
year_2022,Death,…For The Whole World To See,Politicians In My Eyes,spotify:track:6EMAoUEgfk2WtfwiBRG8hd,2022-01-06,2022-11-26,17,1.6
year_2022,Status Quo,In The Army Now,In The Army Now,spotify:track:6QLspHLCLftSGPa6vNzKuo,2022-01-08,2022-12-22,19,1.5
year_2022,NEU!,NEU! 75,Seeland,spotify:track:67dVcUjWE95edIYHxySCIM,2022-01-14,2022-12-02,14,1.5
year_2022,AC/DC,Back In Black,Hells Bells,spotify:track:69QHm3pustz01CJRwdo20z,2022-02-09,2022-12-10,18,1.4
year_2022,David Bowie,The Next Day,Where Are We Now?,spotify:track:6GrDJu7q8VAxbKdUlYzezT,2022-01-09,2022-12-18,19,1.3
year_2022,Motörhead,No Remorse,Killed by Death,spotify:track:4cuPWrSsjNLAkYRJwQLCzt,2022-01-09,2022-10-01,17,1.3
year_2022,Kraftwerk,Autobahn,Autobahn - 2009 Remaster,spotify:track:44HjyYf1lYuO7oXRusudHN,2022-02-03,2022-10-25,5,1.3
year_2022,Motörhead,1916,1916,spotify:track:5gp9UXTiUKw0EbKdmdln9O,2022-01-01,2022-12-28,19,1.2
year_2022,Laid Back,Good Vibes - The Very Best of Laid Back,Sunshine Reggae,spotify:track:0z0JSkE5Nw3i3nin3BBSuG,2022-04-30,2022-08-18,19,1.2
year_2022,Status Quo,Whatever You Want,Whatever You Want,spotify:track:2kUzt5LsTUR0ggquP7O3eN,2022-01-08,2022-12-10,19,1.2
year_2022,AC/DC,Back In Black,Back In Black,spotify:track:08mG3Y1vljYA6bvDt4Wqkj,2022-01-20,2022-12-31,17,1.2
year_2022,Heinz Rudolf Kunze,Deutsche Singen Bei Der Arbeit,Kadaverstern,spotify:track:3TY7kEx83P9uhmjN3EKjxe,2022-05-02,2022-12-28,15,1.2
year_2022,Phil Collins,...But Seriously,Something Happened on the Way to Heaven - 2016 Remaster,spotify:track:4ziqqoW1o3P5EhNqK6CPb1,2022-03-28,2022-12-28,15,1.2
year_2022,Dire Straits,Dire Straits,Sultans Of Swing,spotify:track:37Tmv4NnfQeb0ZgUC4fOJj,2022-01-11,2022-11-30,14,1.2
year_2022,Guns N' Roses,Appetite For Destruction,Paradise City,spotify:track:6eN1f9KNmiWEhpE2RhQqB5,2022-01-07,2022-12-01,12,1.2
year_2022,Queen,Greatest Hits II,Innuendo - Remastered 2011,spotify:track:2tUgNKpW5Y3IkH2HXKG85d,2022-02-11,2022-12-16,11,1.2
year_2022,Led Zeppelin,Led Zeppelin IV,Stairway to Heaven - Remaster,spotify:track:5CQ30WqJwcep0pYcV4AMNc,2022-01-09,2022-09-03,9,1.2
year_2022,Neil Young,100 Greatest Classic Rock Songs,Rockin' in the Free World,spotify:track:1gp5GlIHJysAgiOGbhoRS1,2022-01-29,2022-10-16,14,1.1
year_2022,Pete Townshend,White City: A Novel,Give Blood,spotify:track:6iwWFPOSfhH6kArlU52fp0,2022-01-21,2022-12-23,12,1.1
year_2022,Deep Purple,Machine Head,Smoke On The Water - Remastered 2012,spotify:track:5MMnwYs0hIxkENRsbkWJ2G,2022-01-20,2022-08-12,12,1.1
year_2022,Death,…For The Whole World To See,Let The World Turn,spotify:track:1zXrMovH2j9Up7WCTyttZ3,2022-03-02,2022-12-02,11,1.1
year_2022,Thin Lizzy,Shades Of A Blue Orphanage - Deluxe,Whiskey In The Jar,spotify:track:2uLx3Gka9TGCz9Zgu7Uwav,2022-01-04,2022-10-17,11,1.1
