playlist_name,artist_name,album_name,track_name,track_uri,first_played,last_played,plays,hours
year_2021,Midnight Oil,Rising Seas,Rising Seas,spotify:track:0a3OsuSd5x4kpQAMY3NcJB,2021-11-02,2021-12-23,60,5.8
year_2021,AC/DC,Live (Collector's Edition),Jailbreak - Live - 1991,spotify:track:6OvZ0eYTiRbvE4yflbKlnt,2021-03-04,2021-12-31,20,4.7
year_2021,Garland Jeffreys,American Boy & Girl,Matador,spotify:track:47sazJGX3295PNhbJs41ZY,2021-03-03,2021-12-26,48,3.7
year_2021,Keith Richards,Live at the Hollywood Palladium,Struggle - Live,spotify:track:6NsRIa0f6LN7bmGyskwvvx,2021-01-06,2021-12-31,39,3.0
year_2021,Death,…For The Whole World To See,Politicians In My Eyes,spotify:track:6EMAoUEgfk2WtfwiBRG8hd,2021-01-10,2021-12-26,31,3.0
year_2021,Keith Richards,Vintage Vinos,Struggle,spotify:track:66fY9cYqyWhxLaXGSkpZ4p,2021-01-04,2021-12-30,37,2.7
year_2021,Dire Straits,Love Over Gold,Industrial Disease,spotify:track:7btwmzYKStDASnnx0vubga,2021-01-01,2021-12-31,29,2.7
year_2021,Aerosmith,Get A Grip,Livin' On The Edge,spotify:track:4avSaixVwu8uqfSs7zgoj3,2021-01-02,2021-12-31,25,2.6
year_2021,Frankie Goes To Hollywood,Welcome To The Pleasuredome,Welcome To The Pleasuredome,spotify:track:6PF0WYSCH6OhGKHRHOQSxG,2021-02-01,2021-10-08,12,2.6
year_2021,Viagra Boys,Consistency of Energy,Research Chemicals,spotify:track:6LtEZsktTSelukg6NmYxMR,2021-02-26,2021-12-31,23,2.3
year_2021,Harry Nilsson,Nilsson Schmilsson,Jump Into The Fire,spotify:track:3hgHrfMdtnLtH54HYTdNHF,2021-01-05,2021-12-31,20,2.3
year_2021,Supertramp,Paris,Bloody Well Right - Live At Pavillon de Paris/1979,spotify:track:1o7rmc7I7wFCE4eMUIeBht,2021-01-30,2021-12-31,18,2.2
year_2021,NEU!,NEU!,Hallogallo,spotify:track:0K8iBT3F5XSfptlP5sLsWg,2021-05-01,2021-12-31,13,2.2
year_2021,Ignite,Call On My Brothers,Man Against Man,spotify:track:3qv7soEIbmar2mMIswLTFi,2021-10-21,2021-10-22,10,2.2
year_2021,David Bowie,The Next Day,Where Are We Now?,spotify:track:6GrDJu7q8VAxbKdUlYzezT,2021-01-23,2021-12-26,30,2.1
year_2021,Ton Steine Scherben,Keine Macht für Niemand,Der Traum ist aus,spotify:track:568gbsCi6Byp9VnQZmE6OV,2021-03-06,2021-12-31,13,2.1
year_2021,Billy Idol,Rebel Yell,Eyes Without A Face,spotify:track:0pUVeEgZuNyFzIMKp67RbS,2021-01-30,2021-12-31,24,2.0
year_2021,BAP,Für Usszeschnigge,Verdamp lang her,spotify:track:12Gf7Ffl7pxj7mQF1ehRBy,2021-03-29,2021-12-17,24,2.0
year_2021,Dire Straits,Dire Straits,Sultans Of Swing,spotify:track:37Tmv4NnfQeb0ZgUC4fOJj,2021-03-26,2021-12-31,21,2.0
year_2021,Ton Steine Scherben,Keine Macht für Niemand,Wir müssen hier raus!,spotify:track:1eF6blE1syu1FX9MhGPH1e,2021-01-23,2021-12-26,22,1.9
year_2021,Keith Richards,Live at the Hollywood Palladium,Locked Away - Live,spotify:track:6NukPaVBrn9B7xbk1Q42y9,2021-01-16,2021-12-31,20,1.9
year_2021,"Ja, Panik",Apocalypse or Revolution,Apocalypse or Revolution,spotify:track:6Ryc3Wc3UNhlF9YH7a2EZy,2021-01-05,2021-12-31,18,1.9
year_2021,David Bowie,The Next Day,You Feel So Lonely You Could Die,spotify:track:3Z3SijCWtahBWb1SNKR0Z6,2021-01-23,2021-12-31,23,1.8
year_2021,Midnight Oil,Diesel And Dust,Bullroarer - 2007 Remastered,spotify:track:3gjeNlY6MLmpWXcyGN7IUJ,2021-03-06,2021-12-31,22,1.8
year_2021,Nirvana,Nevermind,Come As You Are,spotify:track:6HlMq7SQIu9CuzsJ3yOFpv,2021-01-30,2021-12-17,27,1.7
year_2021,The Smashing Pumpkins,Mellon Collie And The Infinite Sadness,Bullet With Butterfly Wings - Remastered 2012,spotify:track:6GtX0jaNL8IjVQfrDBx81z,2021-01-15,2021-12-26,23,1.7
year_2021,Billy Idol,Cyberpunk,Wasteland,spotify:track:4M4JE1MRvgWegQMripvvwv,2021-03-05,2021-12-31,22,1.7
year_2021,Dire Straits,Brothers In Arms - 20th Anniversary Edition,Brothers In Arms,spotify:track:60bF2b61f7Q5Bt82QCBwvc,2021-05-12,2021-12-31,15,1.7
year_2021,Funkadelic,Maggot Brain,Maggot Brain,spotify:track:3utrFnKNa1QSmUIm8QxHEC,2021-02-27,2021-11-11,10,1.7
year_2021,AC/DC,POWER UP,Demon Fire,spotify:track:6jtUOVRO4p09Z7E35ERRL7,2021-01-12,2021-12-29,28,1.6
