playlist_name,artist_name,album_name,track_name,track_uri,first_played,last_played,plays,hours
year_2025,Birth Control,Hoodoo Man,Gamma Ray,spotify:track:0iVUzpjSPczQoNPuwtEOkL,2025-07-22,2025-12-22,19,3.0
year_2025,NEU!,NEU!,Hallogallo,spotify:track:6eUnY12Nd9TVWlbBnFQRCw,2025-03-29,2025-12-20,19,2.7
year_2025,Rory Gallagher,Blueprint,Daughter Of The Everglades,spotify:track:3jjIBzbGC7qdOa4VlFXOTj,2025-02-06,2025-12-16,23,2.2
year_2025,Tom Petty and the Heartbreakers,Hypnotic Eye,Shadow People,spotify:track:61yxDjvjwWEcZ47o9DJckg,2025-03-24,2025-12-04,18,1.9
year_2025,Billy Bragg,Hundred Year Hunger,Hundred Year Hunger,spotify:track:6np39MdWoQDSwotVlE2n02,2025-10-04,2025-12-22,21,1.5
year_2025,Tom Petty and the Heartbreakers,Hypnotic Eye,Fault Lines,spotify:track:6EbwtNHHupaiR2tCTNwDFz,2025-01-09,2025-12-04,20,1.5
year_2025,Dire Straits,Dire Straits,Sultans Of Swing,spotify:track:37Tmv4NnfQeb0ZgUC4fOJj,2025-01-17,2025-12-11,15,1.5
year_2025,Tom Petty and the Heartbreakers,Hypnotic Eye,American Dream Plan B,spotify:track:5TCq5VBFgZx6Pg3qeGqUE4,2025-01-09,2025-12-20,28,1.4
year_2025,The Rolling Stones,Let It Bleed,Gimme Shelter,spotify:track:6H3kDe7CGoWYBabAeVWGiD,2025-01-17,2025-12-04,18,1.3
year_2025,ZZ Top,ZZ Top's Greatest Hits,Legs (Remix),spotify:track:2u5G4MzqAWOd7zCILF4hAZ,2025-12-24,2025-12-25,17,1.3
year_2025,ZZ Top,ZZ Top's Greatest Hits,Cheap Sunglasses,spotify:track:1itkFUFyyBD68T6mjdKy3W,2025-12-24,2025-12-25,16,1.3
year_2025,ZZ Top,ZZ Top's Greatest Hits,"I'm Bad, I'm Nationwide",spotify:track:2kH8X9jGmN9f2Bkf97DlLA,2025-12-24,2025-12-25,16,1.3
year_2025,ZZ Top,ZZ Top's Greatest Hits,Rough Boy,spotify:track:7klVmKxao2mL9MuJBVuwPG,2025-12-24,2025-12-25,16,1.3
year_2025,ZZ Top,ZZ Top's Greatest Hits,Viva Las Vegas,spotify:track:2TflqYPjlaoKqH0QnIDT99,2025-12-24,2025-12-25,16,1.3
year_2025,Traveling Wilburys,"The Traveling Wilburys, Vol. 1",Tweeter And The Monkey Man,spotify:track:2rm4CNyzlEGs3PcK91wzGe,2025-04-18,2025-12-24,14,1.3
year_2025,Arcade Fire,Funeral,Wake Up,spotify:track:6Hmj7SrLRbreLVfVS7mV1S,2025-03-09,2025-12-20,14,1.3
year_2025,Black Sabbath,Paranoid,War Pigs - 2009 Remaster,spotify:track:6TYQRlRci6AkVrN9a5C7ne,2025-05-27,2025-12-10,10,1.3
year_2025,ZZ Top,ZZ Top's Greatest Hits,Gimme All Your Lovin',spotify:track:3jwFxq2x7POiA3Enxuw8a4,2025-12-24,2025-12-25,18,1.2
year_2025,ZZ Top,ZZ Top's Greatest Hits,Got Me Under Pressure,spotify:track:5jLkDST1tccGGuuf9eWY17,2025-06-21,2025-12-25,18,1.2
year_2025,ZZ Top,ZZ Top's Greatest Hits,Pearl Necklace,spotify:track:7ybWH5xcd0jdG1TtuQaeOT,2025-12-24,2025-12-25,17,1.2
year_2025,ZZ Top,ZZ Top's Greatest Hits,My Head's in Mississippi,spotify:track:5WNTSuZ5yK9RJQjZfB7mKs,2025-12-24,2025-12-25,16,1.2
year_2025,Creedence Clearwater Revival,Chronicle: 20 Greatest Hits,Susie Q,spotify:track:6z2AyfE9GZxoHqJVSA4NgN,2025-03-09,2025-12-20,16,1.2
year_2025,Neil Young,Freedom,Rockin' in the Free World,spotify:track:4Y7fEQ4PAzhlLnLviRw2P4,2025-04-04,2025-12-24,15,1.2
year_2025,Westernhagen,Live,Nimm mich mit (Live) - 2000 Remaster,spotify:track:66OXARu4wSBf3rc3MBFlyG,2025-08-20,2025-12-31,9,1.2
year_2025,AC/DC,Live (Collector's Edition),Jailbreak - Live - 1991,spotify:track:6OvZ0eYTiRbvE4yflbKlnt,2025-06-07,2025-11-14,6,1.2
year_2025,ZZ Top,ZZ Top's Greatest Hits,La Grange (1999 Remaster),spotify:track:6VlsHsJWyKBP6YooY3xVA6,2025-12-24,2025-12-25,17,1.1
year_2025,ZZ Top,ZZ Top's Greatest Hits,Planet of Women,spotify:track:6gTvikPrCcJ4KSFVMl8YEX,2025-12-24,2025-12-25,17,1.1
year_2025,ZZ Top,ZZ Top's Greatest Hits,Sharp Dressed Man,spotify:track:5u5sJKq5aoIbYyiUfBs7dg,2025-12-24,2025-12-25,16,1.1
year_2025,ZZ Top,ZZ Top's Greatest Hits,Sleeping Bag,spotify:track:4IDCDONBeZzG1Ay3UlQjtT,2025-12-25,2025-12-25,16,1.1
year_2025,R.L. Burnside,Come on In,It's Bad You Know,spotify:track:1AcvqJhm4CXOFJ7INbR5rR,2025-01-17,2025-11-30,14,1.1
