playlist_name,artist_name,album_name,track_name,track_uri,first_played,last_played,plays,hours
year_2019,Flamin' Groovies,Groovies Greatest Grooves,Slow Death,spotify:track:44JvhqeLaMatXiA2VAtw25,2019-08-06,2019-12-28,71,5.0
year_2019,Funkadelic,Maggot Brain,Maggot Brain,spotify:track:2t5GyUfFoZg3E8ak3i7dVP,2019-08-10,2019-12-19,23,4.1
year_2019,Harry Nilsson,Nilsson Schmilsson,Jump Into The Fire,spotify:track:3hgHrfMdtnLtH54HYTdNHF,2019-10-17,2019-12-28,33,3.6
year_2019,Flamin' Groovies,Shake Some Action,Shake Some Action,spotify:track:0Afai8u1STCaDyTTm1gEZf,2019-09-11,2019-12-22,47,3.4
year_2019,Carsick Cars,Carsick Cars,Zhong Nan Hai,spotify:track:3Tmeg5h8eQBELjGlH6VC5f,2019-11-16,2019-12-28,28,3.1
year_2019,Radio Birdman,The Essential Radio Birdman,Hand Of Law,spotify:track:5v7ueWobEX4oIVO9Ihu9n2,2019-08-25,2019-12-28,38,2.8
year_2019,Dr. Feelgood,Down By The Jetty,She Does It Right - 2006 Remaster,spotify:track:6Ii2IbnbiRnRlnCrbmgWYg,2019-08-06,2019-12-22,51,2.7
year_2019,The Peep Tempel,Joy,Neuroplasticity,spotify:track:1oduOfu6Nszg0Jk6JtXGyt,2019-12-03,2019-12-30,44,2.7
year_2019,The Voluptuous Horror of Karen Black,Black Date,Shopping Spree,spotify:track:2S5OAEpczZN3iCfsoN4Ors,2019-11-22,2019-12-29,45,2.6
year_2019,The Godfathers,"The Best Of The Godfathers: Birth, School, Work, Death","Birth, School, Work, Death",spotify:track:0qUJiBYAngJDJwNVh17GNF,2019-10-13,2019-11-13,39,2.6
year_2019,Dead Moon,Unknown Passage,Dead Moon Night,spotify:track:5FVKVd1wp7dGqjWzATBJcK,2019-08-27,2019-12-28,34,2.6
year_2019,Carusella,Carusella,Star Quality,spotify:track:21VVTW62ZXQXxyUR0Nj3uO,2019-11-28,2019-12-25,34,2.5
year_2019,The Voluptuous Horror of Karen Black,Black Date,Bills to Pay,spotify:track:3OSe8ierhFxnZ1qV0dQHaI,2019-11-22,2019-12-30,37,2.3
year_2019,ZZ Top,ZZ Top's Greatest Hits,Pearl Necklace,spotify:track:4anJfhuQLpdg637D6wt0cL,2019-06-27,2019-11-23,35,2.2
year_2019,NEU!,Neu!,Hallogallo,spotify:track:1GkZZHT9uJjdzrrksrpczR,2019-03-13,2019-12-19,15,2.2
year_2019,Monster Magnet,Dopes To Infinity,Look To Your Orb For The Warning,spotify:track:0hXpC8CI25VOT8qNV1nr8l,2019-07-09,2019-12-28,20,2.1
year_2019,ZZ Top,ZZ Top's Greatest Hits,"I'm Bad, I'm Nationwide",spotify:track:7hq8ntGVskliIPeoP99nA2,2019-06-27,2019-09-19,28,2.0
year_2019,Flamin' Groovies,Flamingo,Headin' for the Texas Border,spotify:track:0OTRhKIlHr3SCvQz3LvWeS,2019-06-10,2019-12-24,26,2.0
year_2019,AC/DC,Live (Collector's Edition),Jailbreak - Live - 1991,spotify:track:6OvZ0eYTiRbvE4yflbKlnt,2019-09-14,2019-11-18,9,2.0
year_2019,Sleep,Dopesmoker,Dopesmoker,spotify:track:1vhvheW4R0KbK6Kr3NFplW,2019-10-20,2019-10-29,3,2.0
year_2019,ZZ Top,ZZ Top's Greatest Hits,Got Me Under Pressure,spotify:track:0obylpC28LbpeUx0tezLFU,2019-06-27,2019-12-18,29,1.9
year_2019,ZZ Top,ZZ Top's Greatest Hits,My Head's in Mississippi,spotify:track:4a5yJdmm46FNVEiJCY1bqO,2019-06-27,2019-09-19,28,1.9
year_2019,ZZ Top,ZZ Top's Greatest Hits,Sharp Dressed Man,spotify:track:0f9h8awV1X4jSllHXXYdfX,2019-06-27,2019-11-23,27,1.9
year_2019,The Voluptuous Horror of Karen Black,A National Healthcare,Neighborachie,spotify:track:6VfKwUQ1uIDaQn6KYq6jY1,2019-11-22,2019-12-30,33,1.8
year_2019,ZZ Top,ZZ Top's Greatest Hits,Rough Boy,spotify:track:7Be81Zrxv29TyFJEPPyf8h,2019-06-27,2019-09-19,23,1.8
year_2019,Monster Magnet,Dopes To Infinity,Dopes To Infinity,spotify:track:5sPMcmB69C3VacVS5U8e4T,2019-07-09,2019-12-11,22,1.8
year_2019,Fu Manchu,Godzilla's / Eatin' Dust,Mongoose,spotify:track:15QdOzjkeTl4bk3Wa7vAPt,2019-08-05,2019-12-28,20,1.8
year_2019,Chris Spedding,Guitar Graffiti,Video Life,spotify:track:64bWAl2OJFilKBf8bl5rXx,2019-11-22,2019-12-29,33,1.7
year_2019,ZZ Top,ZZ Top's Greatest Hits,Viva Las Vegas,spotify:track:5JFywJVhSvuJI6KB9ikgjA,2019-06-27,2019-09-19,23,1.7
year_2019,ZZ Top,ZZ Top's Greatest Hits,Gun Love,spotify:track:7AzHqqR0dxCIhBb7wOvFth,2019-06-27,2019-09-19,26,1.6
