playlist_name,artist_name,album_name,track_name,track_uri,first_played,last_played,plays,hours
year_2015,Tom Petty and the Heartbreakers,Hypnotic Eye,American Dream Plan B,spotify:track:5TCq5VBFgZx6Pg3qeGqUE4,2015-07-20,2015-12-14,33,1.7
year_2015,Tom Petty and the Heartbreakers,Hypnotic Eye,Shadow People,spotify:track:61yxDjvjwWEcZ47o9DJckg,2015-07-20,2015-12-14,13,1.4
year_2015,Tom Petty and the Heartbreakers,Hypnotic Eye,Red River,spotify:track:2JnQvMvZyV8c2fiLMKHZ80,2015-07-20,2015-12-14,19,1.3
year_2015,Tom Petty and the Heartbreakers,Hypnotic Eye,All You Can Carry,spotify:track:757plEIHl29OU5hOMRvJnH,2015-07-20,2015-12-14,17,1.2
year_2015,Tom Petty and the Heartbreakers,Hypnotic Eye,Fault Lines,spotify:track:6EbwtNHHupaiR2tCTNwDFz,2015-07-20,2015-12-14,17,1.1
year_2015,Tom Petty and the Heartbreakers,Hypnotic Eye,Power Drunk,spotify:track:4qpNYHLKY8VWK3jU9dtext,2015-07-20,2015-12-14,14,1.1
year_2015,Tom Petty and the Heartbreakers,Hypnotic Eye,Full Grown Boy,spotify:track:1u4HpdpAG9W8HGXAlEqAhb,2015-07-20,2015-12-14,17,1.0
year_2015,Tom Petty and the Heartbreakers,Hypnotic Eye,U Get Me High,spotify:track:2rlhuKi3o7oySloqWw5TUa,2015-07-20,2015-12-14,13,0.9
year_2015,Tom Petty and the Heartbreakers,Hypnotic Eye,Sins of My Youth,spotify:track:303LVb822iYKBiPdEGawa9,2015-07-20,2015-12-14,13,0.8
year_2015,Tom Petty and the Heartbreakers,Hypnotic Eye,Forgotten Man,spotify:track:2LpjANuqrysVLtWHqgtuwG,2015-07-20,2015-12-14,15,0.7
year_2015,Tom Petty and the Heartbreakers,Hypnotic Eye,Burnt Out Town,spotify:track:2hlCLts7h7aHlyuWibLayL,2015-07-20,2015-12-14,13,0.7
year_2015,Schnipo Schranke,Satt,Herzinfarkt,spotify:track:6tjCWngGFXoDrT4C4QCB1q,2015-09-09,2015-09-20,2,0.2
year_2015,Billy Joel,Storm Front,We Didn't Start the Fire,spotify:track:3Cx4yrFaX8CeHwBMReOWXI,2015-09-07,2015-09-16,2,0.2
year_2015,Fehlfarben,Xenophonie,Herbstwind,spotify:track:7DZoP3QxgbpPlcinKBtvk2,2015-09-23,2015-09-23,1,0.2
year_2015,Tom Petty and the Heartbreakers,Tom Petty & The Heartbreakers,Anything That's Rock 'n' Roll,spotify:track:2AX3BnBmNwR2lHZhkKvmXJ,2015-08-18,2015-12-14,2,0.1
year_2015,Fehlfarben,Xenophonie,Bundesagentur,spotify:track:2wkmqx4PlrUeVplOVdfOvc,2015-09-23,2015-09-25,2,0.1
year_2015,Bad Company,10 from 6,Can't Get Enough - 2009 Remaster,spotify:track:3DnzFhjydj8XXtCAnVKz14,2015-08-18,2015-12-14,2,0.1
year_2015,Creedence Clearwater Revival,Willy And The Poor Boys,Cotton Fields,spotify:track:4vaWEAlG3G8EdcygfTtOZ6,2015-08-18,2015-12-14,2,0.1
year_2015,Fehlfarben,Xenophonie,Das erklärts doch nicht,spotify:track:6krICFcm5SwzkqVs2NtN9P,2015-09-23,2015-09-25,2,0.1
year_2015,Fehlfarben,Xenophonie,Dekade 2,spotify:track:5ry9HXa23dJhQXe9ScYEwN,2015-09-23,2015-09-25,2,0.1
year_2015,Fehlfarben,Xenophonie,Glauberei,spotify:track:7eNwc5vfdD73Wd2NyqeEdl,2015-09-23,2015-09-25,2,0.1
year_2015,Creedence Clearwater Revival,Chronicle: 20 Greatest Hits,Have You Ever Seen The Rain,spotify:track:5XE8c07vbpQBUriwybOHtd,2015-08-18,2015-12-14,2,0.1
year_2015,Fehlfarben,Xenophonie,Hygieneporzellan,spotify:track:58p3pPu6r8YpIBLuD8ar6t,2015-09-23,2015-09-25,2,0.1
year_2015,Schnipo Schranke,Satt,Intensiv,spotify:track:0qJ0BXV57oecwbla6LPjJz,2015-09-09,2015-09-20,2,0.1
year_2015,Schnipo Schranke,Satt,Ja nun,spotify:track:67QHRlxhrirnkKRCTBDvbv,2015-09-09,2015-09-20,2,0.1
year_2015,Billy Joel,The Stranger (Legacy Edition),Just the Way You Are,spotify:track:49MHCPzvMLXhRjDantBMVH,2015-08-20,2015-09-07,2,0.1
year_2015,Fehlfarben,Xenophonie,Lange genug,spotify:track:7HUHhDRaNjAw17IIrjIPaD,2015-09-23,2015-09-25,2,0.1
year_2015,Tom Petty and the Heartbreakers,Into The Great Wide Open,Learning To Fly,spotify:track:17S4XrLvF5jlGvGCJHgF51,2015-07-19,2015-07-20,2,0.1
year_2015,Fehlfarben,Xenophonie,Platz da!!!,spotify:track:250zoDlLt5zkmd44OyiqAh,2015-09-23,2015-09-25,2,0.1
year_2015,Fehlfarben,Xenophonie,Richtig in falsch (NFS),spotify:track:6WPqvV5CV6EkTQIBCrP3Ox,2015-09-23,2015-09-25,2,0.1
